SampleName	TotalReads	TotalFragments	TotalUnmapped	GoodFragments	GoodUnmapped	ClassFragments	GoodFragmentsProp	ClassProp	PrepType
TRS22-B304_A_P2-T0-SS	14503134	7251567	733718	6636864	119015	17164	0.91523	0.14422	ssDNA
TRS22-B304_A_P2-T0-SS-EMS	7941652	3970826	992773	3250272	272219	47349	0.81854	0.17394	ssDNA-SS
TRS22-B304_A_P2-T0-TAK-MDBP	3973557	1986779	18511	1983937	15669	3261	0.99857	0.20812	dsDNA-SS
TRS22-B304_A_P2-T1	10818316	5409158	10775	5403817	5434	200	0.99901	0.03681	dsDNA
TRS22-B304_A_P2-T1-SS	14503469	7251735	813525	6508728	70518	8727	0.89754	0.12376	ssDNA
TRS22-B304_A_P2-T1-SS-EMS	7094098	3547049	927330	2749108	129389	21479	0.77504	0.166	ssDNA-SS
TRS22-B304_A_P2-T1-TAK-MDBP	3030294	1515147	8367	1513532	6752	1326	0.99893	0.19639	dsDNA-SS
TRS22-B304_A_P2-T2	11419625	5709813	11279	5703972	5438	146	0.99898	0.02685	dsDNA
TRS22-B304_A_P2-T2-SS	15067552	7533776	452347	7148834	67405	8325	0.9489	0.12351	ssDNA
TRS22-B304_A_P2-T2-SS-EMS	11386309	5693155	627692	5212504	147041	24166	0.91557	0.16435	ssDNA-SS
TRS22-B304_A_P2-T2-TAK-MDBP	19920251	9960126	28346	9949893	18113	3020	0.99897	0.16673	dsDNA-SS
TRS22-B304_A_P2-T3	9996195	4998098	10954	4992617	5473	62	0.9989	0.01133	dsDNA
TRS22-B304_A_P2-T3-SS	14647408	7323704	235350	7133185	44831	4876	0.97399	0.10876	ssDNA
TRS22-B304_A_P2-T3-SS-EMS	8760608	4380304	305542	4161252	86490	13767	0.94999	0.15917	ssDNA-SS
TRS22-B304_A_P2-T3-TAK-MDBP	6672988	3336494	8426	3333369	5301	742	0.99906	0.13997	dsDNA-SS
TRS22-B304_A_P2-T4	8917254	4458627	11819	4452041	5233	149	0.99852	0.02847	dsDNA
TRS22-B304_A_P2-T4-SS	39136834	19568417	2250448	17509817	191848	24124	0.8948	0.12575	ssDNA
TRS22-B304_A_P2-T4-SS-EMS	22187696	11093848	2774004	8700389	380545	63328	0.78425	0.16641	ssDNA-SS
TRS22-B304_A_P2-T4-TAK-MDBP	3511920	1755960	9113	1753769	6922	1218	0.99875	0.17596	dsDNA-SS
TRS22-B304_A_P2-T5	15303085	7651543	16006	7643447	7910	250	0.99894	0.03161	dsDNA
TRS22-B304_A_P2-T5-SS	13871623	6935812	507463	6514089	85740	11422	0.9392	0.13322	ssDNA
TRS22-B304_A_P2-T5-SS-EMS	7210945	3605473	633418	3148435	176380	29813	0.87324	0.16903	ssDNA-SS
TRS22-B304_A_P2-T5-TAK-MDBP	7235031	3617516	15316	3613943	11743	2178	0.99901	0.18547	dsDNA-SS
TRS22-B304_A_P2-T6	10109127	5054564	10716	5049439	5591	157	0.99899	0.02808	dsDNA
TRS22-B304_A_P2-T6-SS	13571526	6785763	752250	6101477	67964	8497	0.89916	0.12502	ssDNA
TRS22-B304_A_P2-T6-SS-EMS	6517111	3258556	870595	2517273	129312	21435	0.77251	0.16576	ssDNA-SS
TRS22-B304_A_P2-T6-TAK-MDBP	2844867	1422434	7548	1420862	5976	1057	0.99889	0.17687	dsDNA-SS
